Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
STA 9890 Lecture 1 - Course Overview & Introduction to ML,2025-01-28,6:05 PM,2025-01-28,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 2 - Regression I,2025-02-04,6:05 PM,2025-02-04,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 3 - Regression II,2025-02-11,6:05 PM,2025-02-11,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 4 - Regression III,2025-02-25,6:05 PM,2025-02-25,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 5 - Introduction to Classification,2025-03-04,6:05 PM,2025-03-04,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Test 1 - Theory of Supervised Learning; Regression,2025-03-04,6:05 PM,2025-03-04,7:15 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Research Report 1 Due,2025-03-07,11:15 PM,2025-03-07,11:45 PM,False,Brightspace
STA 9890 Lecture 6 - Classification I,2025-03-11,6:05 PM,2025-03-11,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 7 - Classification II,2025-03-18,6:05 PM,2025-03-18,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 8 - Ensemble Learning & Resampling Methods,2025-03-25,6:05 PM,2025-03-25,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 9 - Tree-Based Methods,2025-04-01,6:05 PM,2025-04-01,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 10 - Introduction to Unsupervised Learning,2025-04-08,6:05 PM,2025-04-08,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Test 2 - Classification; Ensemble Learning; Tree-Based Methods,2025-04-08,6:05 PM,2025-04-08,7:15 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Research Report 2 Due,2025-04-11,11:15 PM,2025-04-11,11:45 PM,False,Brightspace
STA 9890 Lecture 11 - Unsupervised Learning I,2025-04-22,6:05 PM,2025-04-22,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 12 - Unsupervised Learning II,2025-04-29,6:05 PM,2025-04-29,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Lecture 13 - Introduction to Generative Models,2025-05-06,6:05 PM,2025-05-06,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Test 3 - Unsupervised Learning,2025-05-06,6:05 PM,2025-05-06,7:15 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Research Report 3 Due,2025-05-09,11:15 PM,2025-05-09,11:45 PM,False,Brightspace
STA 9890 Lecture 14 - Course Wrap-Up,2025-05-13,6:05 PM,2025-05-13,9:00 PM,False,Newman Vertical Campus (NVC) 5-175
STA 9890 Competition - In-Class Presentations,2025-05-13,11:15pm,2025-05-13,11:45pm,False,Brightspace
STA 9890 Competition - Final Report,2025-05-20,11:15pm,2025-05-20,11:45pm,False,Brightspace
